"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","UI","","0","0","36","0","0"
"","","","0","0","92","0","3"
"","Function","","0","0","568","0","3"
"","Navigation","","0","0","150","0","0"
