"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Function","","0","1","184","885","12"
"","Navigation","","0","4","42","318","2"
"","","","0","28","15","147","2"
"","UI","","0","0","15","53","0"
