"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","3","374","0","3"
"","Function","","0","2","382","0","4"
"","Navigation","","0","0","21","0","0"
"","UI","","0","0","39","0","1"
