"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","UI","","0","0","2","0","0"
"","Function","","0","0","110","0","6"
"","","","0","0","0","0","3"
"","Navigation","","0","0","2","0","1"
