"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Function","","2","145","862","45","12"
"","UI","","2","4","60","2","0"
"","Navigation","","0","136","224","4","2"
"","","","0","17","147","0","2"
