"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","9","113","43","2"
"","Function","","2","153","842","53","12"
"","UI","","1","5","55","7","0"
"","Navigation","","0","130","218","4","2"
