"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Function","","0","3","506","0","4"
"","Navigation","","0","0","174","0","1"
"","","","0","1","79","0","0"
"","UI","","0","0","34","0","0"
