"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Function","","0","0","110","0","3"
"","UI","","0","0","2","0","0"
"","","","0","0","0","0","3"
"","Navigation","","0","0","2","0","0"
